country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Niger,Sub-Saharan Africa,4.556,0.573,0.677,0.293,0.615,0.145,0.147
Burkina Faso,Sub-Saharan Africa,4.548,0.756,0.685,0.274,0.483,0.173,0.179
Mauritania,Sub-Saharan Africa,4.505,1.078,0.705,0.4,0.343,0.133,0.198
Gambia,Sub-Saharan Africa,4.485,0.75,0.684,0.33,0.459,0.324,0.048
Chad,Sub-Saharan Africa,4.471,0.603,0.805,0.199,0.411,0.218,0.113
Kenya,Sub-Saharan Africa,4.47,1.037,0.895,0.353,0.519,0.282,0.069
Tunisia,Middle East and North Africa,4.422,1.306,0.955,0.579,0.254,0.024,0.018
Benin,Sub-Saharan Africa,4.377,0.914,0.128,0.284,0.567,0.112,0.252
Uganda,Sub-Saharan Africa,4.372,0.772,1.151,0.373,0.587,0.178,0.054
Myanmar,Southeast Asia,4.354,0.978,0.988,0.436,0.45,0.401,0.174
Cambodia,Southeast Asia,4.341,1.011,1.019,0.442,0.863,0.17,0.071
Ghana,Sub-Saharan Africa,4.289,1.077,0.747,0.36,0.623,0.183,0.028
Liberia,Sub-Saharan Africa,4.269,0.619,0.673,0.301,0.546,0.178,0.075
Mali,Sub-Saharan Africa,4.232,0.747,0.688,0.267,0.586,0.12,0.09
Madagascar,Sub-Saharan Africa,4.228,0.628,0.823,0.333,0.25,0.172,0.123
Togo,Sub-Saharan Africa,4.214,0.758,0.586,0.32,0.453,0.127,0.156
Jordan,Middle East and North Africa,4.186,1.262,0.983,0.594,0.593,0.059,0.189
India,South Asia,4.054,1.166,0.653,0.417,0.767,0.174,0.122
Egypt,Middle East and North Africa,3.977,1.37,0.996,0.488,0.49,0.025,0.259
Sri Lanka,South Asia,3.898,1.361,1.179,0.586,0.583,0.144,0.031
Bangladesh,South Asia,3.886,1.122,0.249,0.513,0.775,0.14,0.167
Ethiopia,Sub-Saharan Africa,3.861,0.792,0.915,0.42,0.441,0.27,0.101
Tanzania,Sub-Saharan Africa,3.781,0.82,0.706,0.38,0.709,0.191,0.257
Comoros,Sub-Saharan Africa,3.566,0.896,0.328,0.37,0.172,0.128,0.16
Yemen,,3.561,0.671,1.281,0.293,0.362,0.08,0.113
Zambia,Sub-Saharan Africa,3.502,0.899,0.809,0.264,0.727,0.168,0.109
Eswatini,,3.502,1.255,0.925,0.176,0.284,0.059,0.116
Malawi,Sub-Saharan Africa,3.421,0.617,0.41,0.349,0.571,0.135,0.136
Botswana,Sub-Saharan Africa,3.383,1.445,0.969,0.241,0.567,0.014,0.082
Zimbabwe,Sub-Saharan Africa,3.341,0.748,0.85,0.232,0.487,0.096,0.131
Congo (Kinshasa),Sub-Saharan Africa,3.295,0.534,0.665,0.262,0.473,0.189,0.072
Sierra Leone,Sub-Saharan Africa,3.245,0.654,0.566,0.253,0.469,0.181,0.053
Lesotho,,3.186,0.771,0.851,0.0,0.523,0.082,0.085
Lebanon,Middle East and North Africa,2.707,1.377,0.577,0.556,0.173,0.068,0.029
Afghanistan,South Asia,1.721,0.628,0.0,0.242,0.0,0.091,0.088
