country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Tajikistan,Commonwealth of Independent States,4.996,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509
Mongolia,East Asia,4.907,0.98853,1.08983,0.55469,0.35972,0.34539,0.03285
Laos,Southeast Asia,4.876,0.68042,0.5497,0.38291,0.52168,0.43079,0.22423
Nigeria,Sub-Saharan Africa,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305
Honduras,Latin America and Caribbean,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906
Iran,Middle East and North Africa,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557
Zambia,Sub-Saharan Africa,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479
Nepal,South Asia,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008
Palestinian Territories,Middle East and North Africa,4.754,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613
Albania,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301
Bangladesh,South Asia,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583
Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.628,0,0.30685,0.23897,0.08196
Iraq,Middle East and North Africa,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636
Namibia,Sub-Saharan Africa,4.574,0.93287,0.70362,0.34745,0.48614,0.07795,0.10398
Cameroon,Sub-Saharan Africa,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126
Ethiopia,Sub-Saharan Africa,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717
South Africa,Sub-Saharan Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415
Sri Lanka,South Asia,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964
India,South Asia,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722
Myanmar,Southeast Asia,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243
Egypt,Middle East and North Africa,4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393
Armenia,Central and Eastern Europe,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616
Kenya,Sub-Saharan Africa,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686
Ukraine,Central and Eastern Europe,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829
Ghana,Sub-Saharan Africa,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326
Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.80676,0.188,0.15602,0.25458,0.06075
Georgia,Central and Eastern Europe,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188
Congo (Brazzaville),Sub-Saharan Africa,4.236,0.77109,0.47799,0.28212,0.37938,0.12077,0.09753
Senegal,Sub-Saharan Africa,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681
Bulgaria,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615
Mauritania,Sub-Saharan Africa,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955
Zimbabwe,Sub-Saharan Africa,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582
Malawi,Sub-Saharan Africa,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564
Sudan,Sub-Saharan Africa,4.139,0.63069,0.81928,0.29759,0,0.18077,0.10039
Gabon,Sub-Saharan Africa,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314
Mali,Sub-Saharan Africa,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647
Haiti,Latin America and Caribbean,4.028,0.34097,0.29561,0.27494,0.12072,0.47958,0.14476
Botswana,Sub-Saharan Africa,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769
Comoros,Sub-Saharan Africa,3.956,0.27509,0.60323,0.29981,0.15412,0.1827,0.18437
Ivory Coast,Sub-Saharan Africa,3.916,0.55507,0.57576,0.04476,0.40663,0.20338,0.1553
Cambodia,Southeast Asia,3.907,0.55604,0.5375,0.42494,0.58852,0.40339,0.08092
Angola,Sub-Saharan Africa,3.866,0.84731,0.66366,0.04991,0.00589,0.12071,0.08434
Niger,Sub-Saharan Africa,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176
South Sudan,Sub-Saharan Africa,3.832,0.39394,0.18519,0.15781,0.19662,0.25899,0.13015
Chad,Sub-Saharan Africa,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952
Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533
Uganda,Sub-Saharan Africa,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442
Yemen,Middle East and North Africa,3.724,0.57939,0.47493,0.31048,0.2287,0.09821,0.05892
Madagascar,Sub-Saharan Africa,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506
Tanzania,Sub-Saharan Africa,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099
Liberia,Sub-Saharan Africa,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852
Guinea,Sub-Saharan Africa,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192
Rwanda,Sub-Saharan Africa,3.515,0.32846,0.61586,0.31865,0.5432,0.23552,0.50521
Benin,Sub-Saharan Africa,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681
Afghanistan,South Asia,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112
Togo,Sub-Saharan Africa,3.303,0.28123,0,0.24811,0.34678,0.17517,0.11587
Syria,Middle East and North Africa,3.069,0.74719,0.14866,0.62994,0.06912,0.48397,0.17233
Burundi,Sub-Saharan Africa,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419
