country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.099,0.086
Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127,0.15
Singapore,Southeast Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093,0.074
Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03
Bahrain,Middle East and North Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11
Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014
Trinidad and Tobago,Latin America and Caribbean,6.192,1.231,1.477,0.713,0.489,0.185,0.016
Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05
Uzbekistan,Commonwealth of Independent States,6.174,0.745,1.529,0.756,0.631,0.322,0.24
Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099,0.034
Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2,0.127
Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05
Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.19,0.041
Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126,0.087
Kuwait,Middle East and North Africa,6.021,1.5,1.319,0.808,0.493,0.142,0.097
Thailand,Southeast Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028
Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,East Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161
Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107,0.028
Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06
Japan,East Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14
Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,Commonwealth of Independent States,5.809,1.173,1.508,0.729,0.41,0.146,0.096
Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.137,0.064
Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02
Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184,0.08
Cyprus,Western Europe,5.718,1.263,1.252,1.042,0.417,0.191,0.162
Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.083,0.027
Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,South Asia,5.653,0.677,0.886,0.535,0.313,0.22,0.098
Russia,Central and Eastern Europe,5.648,1.183,1.452,0.726,0.334,0.082,0.031
Philippines,Southeast Asia,5.631,0.807,1.293,0.657,0.558,0.117,0.107
Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039
Moldova,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.181,0
Libya,Middle East and North Africa,5.525,1.044,1.303,0.673,0.416,0.133,0.152
Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08
Tajikistan,Commonwealth of Independent States,5.467,0.493,1.098,0.718,0.389,0.23,0.144
Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022
Hong Kong S.A.R. of China,East Asia,5.43,1.438,1.277,1.122,0.44,0.258,0.287
Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113,0.101
Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,Middle East and North Africa,5.373,1.183,1.36,0.808,0.195,0.083,0.106
Malaysia,Southeast Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0,0.034
Mongolia,East Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
North Macedonia,Central and Eastern Europe,5.274,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,Commonwealth of Independent States,5.261,0.551,1.438,0.723,0.508,0.3,0.023
Turkmenistan,Commonwealth of Independent States,5.247,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,Middle East and North Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Morocco,Middle East and North Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,Middle East and North Africa,5.197,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,Southeast Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
China,East Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1
Vietnam,Southeast Asia,5.175,0.741,1.346,0.851,0.543,0.147,0.073
Bhutan,South Asia,5.082,0.813,1.321,0.604,0.457,0.37,0.167
Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.187,0.037
Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04
Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09
Nepal,South Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,Middle East and North Africa,4.906,0.837,1.225,0.815,0.383,0.11,0.13
Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.175,0.082
Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.105,0.093
Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055
Laos,Southeast Asia,4.796,0.764,1.03,0.551,0.547,0.266,0.164
South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064,0.047
Cambodia,Southeast Asia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,Middle East and North Africa,4.696,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072
Somalia,Sub-Saharan Africa,4.668,0,0.698,0.268,0.559,0.243,0.27
Namibia,Sub-Saharan Africa,4.639,0.879,1.313,0.477,0.401,0.07,0.056
Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.177,0.113
Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Iran,Middle East and North Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125
Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086
Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Gambia,Sub-Saharan Africa,4.516,0.308,0.939,0.428,0.382,0.269,0.167
Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088
Mozambique,Sub-Saharan Africa,4.466,0.204,0.986,0.39,0.494,0.197,0.138
Tunisia,Middle East and North Africa,4.461,0.921,1,0.815,0.167,0.059,0.055
Bangladesh,South Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,Middle East and North Africa,4.437,1.043,0.98,0.574,0.241,0.148,0.089
Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.212,0.053
Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,South Asia,4.366,0.949,1.265,0.831,0.47,0.244,0.047
Myanmar,Southeast Asia,4.36,0.71,1.181,0.555,0.525,0.566,0.172
Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.198,0.078
Ukraine,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.187,0.01
Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.209,0.1
Swaziland,Sub-Saharan Africa,4.212,0.811,1.149,0,0.313,0.074,0.135
Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.252,0.06
Egypt,Middle East and North Africa,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.177,0.085
India,South Asia,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Liberia,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.233,0.033
Comoros,Sub-Saharan Africa,3.973,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,Sub-Saharan Africa,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.176,0.18
Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.419,0.11
Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.025,0.1
Syria,Middle East and North Africa,3.462,0.619,0.378,0.44,0.013,0.331,0.141
Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.218,0.089
Yemen,Middle East and North Africa,3.38,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,South Asia,3.203,0.35,0.517,0.361,0,0.158,0.025
Central African Republic,Sub-Saharan Africa,3.083,0.026,0,0.105,0.225,0.235,0.035
South Sudan,Sub-Saharan Africa,2.853,0.306,0.575,0.295,0.01,0.202,0.091
